AirportId,Iata,Latitude,Longitude,Timezone
12474,JEF,38.59083333,-92.15416667,America/Chicago
12477,JFB,47.60694444,-122.3325,America/Los_Angeles
12478,JFK,40.64,-73.77861111,America/New_York
12479,JFN,41.77777778,-80.69666667,America/New_York
12483,JGC,35.96666667,-112.13333333,America/Phoenix
12484,JGG,37.23916667,-76.71611111,America/New_York
12485,JGL,33.58333333,-84.46666667,America/New_York
12486,JGP,29.73416667,-95.43416667,America/Chicago
12487,JGQ,29.73666667,-95.45916667,America/Chicago
12490,JHC,40.74444444,-73.60833333,America/New_York
12492,JHM,20.96305556,-156.67305556,Pacific/Honolulu
12494,JHW,42.15333333,-79.25805556,America/New_York
12495,JHY,42.28333333,-71.13333333,America/New_York
12497,JID,34.02444444,-117.95916667,America/Los_Angeles
12508,JKV,31.86944444,-95.2175,America/Chicago
12509,JLA,60.48416667,-149.72277778,America/Anchorage
12511,JLN,37.14972222,-94.49805556,America/Chicago
12513,JMA,29.68333333,-95.4,America/Chicago
12515,JMC,37.87861111,-122.50972222,America/Los_Angeles
